Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpcnut,03/10/2008 03:15,2,1,,0.047,0,0.067,0,0.111,0,0.044,0,0.087,0,0.0073,0,0.0056,0,0.0129,0,0.100,0,0.721,0,0.869,0,0.1481,0,2.4,0,1.8,0,1.1,0,2.23,0,7.45,0,17.7,0,,<-1>,3.0,0,,<-1>,,<-1>,11.5,0,222.4,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,03/10/2008 05:45,2,1,,0.048,0,0.066,0,0.066,0,0.000,0,0.087,0,0.0083,0,0.0043,0,0.0126,0,0.100,0,0.876,0,0.958,0,0.0818,0,1.6,0,1.1,0,0.8,0,2.10,0,7.00,0,9.0,0,,<-1>,4.0,0,,<-1>,,<-1>,8.4,0,250.0,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,03/10/2008 08:15,2,1,,0.045,0,0.058,0,0.071,0,0.013,0,0.097,0,0.0084,0,0.0035,0,0.0119,0,0.109,0,0.960,0,1.049,0,0.0885,0,2.6,0,2.4,0,0.3,0,2.12,0,7.16,0,6.0,0,,<-1>,4.0,0,,<-1>,,<-1>,7.5,0,266.6,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,03/10/2008 10:45,2,1,,0.037,0,0.039,0,0.104,0,0.065,0,0.074,0,0.0083,0,0.0040,0,0.0123,0,0.086,0,0.880,0,1.049,0,0.1681,0,7.2,0,6.7,0,1.0,0,2.18,0,7.09,0,9.7,0,,<-1>,4.0,0,,<-1>,,<-1>,8.6,0,257.6,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmssnut,03/10/2008 11:16,1,1,,0.006,0,0.014,0,0.042,0,0.028,0,0.040,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0076,0,0.048,0,0.119,0,0.473,0,0.3539,0,5.4,0,4.9,0,1.0,0,2.11,0,0.52,0,34.6,0,18.7,0,32.3,0,7.5,0,,<-2> [GDM],6.1,0,3.8,0,1.5,0,1709.0,0,645.4,0,0.974,0
gtmssnut,03/10/2008 11:17,1,2,,0.006,0,0.015,0,0.036,0,0.021,0,0.048,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0075,0,0.056,0,0.204,0,0.441,0,0.2375,0,6.0,0,5.6,0,0.8,0,2.13,0,0.41,0,30.4,0,18.7,0,32.3,0,7.5,0,,<-2> [GDM],5.7,0,2.7,0,1.5,0,1709.0,0,645.4,0,0.974,0
gtmpinut,03/10/2008 12:38,1,1,,0.019,0,0.035,<1> [SCC],0.030,<1> [SCC],-0.005,<-3> [SNV],0.092,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0205,0,0.112,0,0.331,0,0.745,0,0.4140,0,5.5,0,4.7,0,1.6,0,1.44,0,1.99,0,24.0,0,17.6,0,22.8,0,7.3,0,,<-2> [GDM],5.0,0,33.1,0,1.4,0,1837.0,0,276.4,0,1.894,0
gtmpinut,03/10/2008 12:39,1,2,,0.015,0,0.035,<1> [SCC],0.027,<1> [SCC],-0.008,<-3> [SNV],0.095,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0205,0,0.116,0,0.324,0,0.819,0,0.4948,0,4.7,0,4.0,0,1.3,0,1.41,0,2.20,0,28.0,0,17.6,0,22.8,0,7.3,0,,<-2> [GDM],5.6,0,33.5,0,1.4,0,1837.0,0,276.4,0,1.894,0
gtmpcnut,03/10/2008 13:15,2,1,,0.036,0,0.066,0,0.091,0,0.025,0,0.087,0,0.0071,0,0.0065,0,0.0136,0,0.101,0,0.759,0,0.916,0,0.1568,0,9.9,0,9.2,0,1.6,0,2.33,0,7.41,0,19.0,0,,<-1>,4.0,0,,<-1>,,<-1>,12.2,0,237.3,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmfmnut,03/10/2008 14:01,1,1,,0.014,0,0.034,0,0.064,<1> (CHB),0.030,<1> (CHB),0.074,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0134,0,0.087,0,0.267,0,0.272,0,0.0042,0,4.0,0,3.1,0,1.5,0,2.01,0,0.95,0,37.8,0,19.2,0,31.5,0,7.8,0,,<-2> [GDM],7.3,0,14.6,0,0.8,0,1884.0,0,434.8,0,1.466,0
gtmfmnut,03/10/2008 14:02,1,2,,0.016,0,0.020,0,0.051,0,0.031,0,0.069,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0115,0,0.080,0,0.266,0,0.380,0,0.1136,0,3.3,0,2.9,0,0.8,0,2.02,0,1.42,0,47.0,0,19.2,0,31.5,0,7.8,0,,<-2> [GDM],7.6,0,9.6,0,0.8,0,1884.0,0,434.8,0,1.466,0
gtmpcnut,03/10/2008 15:06,1,1,,0.038,0,0.063,0,0.078,0,0.015,0,0.053,0,0.0087,0,0.0031,0,0.0118,0,0.065,0,0.859,0,1.077,0,0.2173,0,10.0,0,8.9,0,2.2,0,2.50,0,7.46,0,18.2,0,17.3,0,0.5,0,6.6,0,,<-2> [GDM],11.5,0,261.9,0,0.5,0,1397.0,0,4.7,0,5.694,0
gtmpcnut,03/10/2008 15:07,1,2,,0.044,0,0.057,0,0.082,0,0.025,0,0.070,0,0.0085,0,0.0040,0,0.0125,0,0.082,0,0.887,0,1.191,0,0.3038,0,6.7,0,5.8,0,1.8,0,2.39,0,7.47,0,13.7,0,17.3,0,0.5,0,6.6,0,,<-2> [GDM],9.9,0,266.3,0,0.5,0,1397.0,0,4.7,0,5.694,0
gtmpcnut,03/10/2008 22:15,2,1,,0.043,0,0.066,0,0.099,0,0.033,0,0.073,0,0.0076,0,0.0046,0,0.0122,0,0.085,0,0.755,0,1.020,0,0.2657,0,3.8,0,3.4,0,0.8,0,2.14,0,7.17,0,14.0,0,,<-1>,3.0,0,,<-1>,,<-1>,9.4,0,224.2,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,04/20/2008 10:30,2,1,,0.020,0,0.036,0,0.057,0,0.021,0,0.025,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0062,<-4> [SBL],,<-4> [SCB],0.432,0,0.617,0,0.1849,0,7.5,0,5.6,0,3.6,0,1.99,0,3.59,0,62.3,0,,<-1>,25.0,0,,<-1>,,<-1>,10.9,0,81.8,0,,<-1>,,<-1>,,<-1>,,<-1>
