"ANALYTE_SYNONYM_KEY"|"DEP_PRIMARY_ANALYTE_NAME"|"DEP_ANALYTE_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"85"|"Carbon- Organic"|"2040"|"Carbon, Total Organic (Toc)"|"01-JAN-2014 00:00:00"|""|""|""
"86"|"Carbon- Organic"|"2040"|"Dissolved organic carbon (DOC)"|"01-JAN-2014 00:00:00"|""|""|""
"87"|"Carbon- Organic"|"2040"|"DOC"|"01-JAN-2014 00:00:00"|""|""|""
"88"|"Carbon- Organic"|"2040"|"TOC"|"01-JAN-2014 00:00:00"|""|""|""
"89"|"Carbon- Organic"|"2040"|"Total Organic Carbon"|"01-JAN-2014 00:00:00"|""|""|""
"90"|"4,4'-DDT"|"50293"|"DDT"|"01-JAN-2014 00:00:00"|""|""|""
"91"|"4,4'-DDT"|"50293"|"DDT-p,p'"|"01-JAN-2014 00:00:00"|""|""|""
"92"|"4,4'-DDT"|"50293"|"p,p'-Dichlorodiphenyltrichloroethane"|"01-JAN-2014 00:00:00"|""|""|""
"93"|"4,4'-DDT"|"50293"|"DDT, p,p'-"|"01-JAN-2014 00:00:00"|""|""|""
"94"|"Benzo(a)pyrene"|"50328"|"Benzo[a]pyrene"|"01-JAN-2014 00:00:00"|""|""|""
"95"|"2,4-Dinitrophenol"|"51285"|"Dinitrophenol, 2,4-"|"01-JAN-2014 00:00:00"|""|""|""
"96"|"Trichlorofon"|"52686"|"Dylox"|"01-JAN-2014 00:00:00"|""|""|""
"97"|"Dibenzo(a,h)anthracene"|"53703"|"Dibenzo[a,h]anthracene"|"01-JAN-2014 00:00:00"|""|""|""
"98"|"N-Nitrosodiethylamine"|"55185"|"N-Ethyl-N-Nitrosoethanamine"|"01-JAN-2014 00:00:00"|""|""|""
"99"|"N-Nitrosodiethylamine"|"55185"|"Nitrosodiethylamine, n-"|"01-JAN-2014 00:00:00"|""|""|""
"100"|"Carbon tetrachloride"|"56235"|"Tetrachloromethane"|"01-JAN-2014 00:00:00"|""|""|""
"101"|"Parathion"|"56382"|"ethyl parathion"|"01-JAN-2014 00:00:00"|""|""|""
"102"|"Parathion"|"56382"|"Parathion ethyl"|"01-JAN-2014 00:00:00"|""|""|""
"103"|"3-Methylcholanthrene"|"56495"|"Methylcholanthrene, 3-"|"01-JAN-2014 00:00:00"|""|""|""
"104"|"Benzo(a)anthracene"|"56553"|"Benzo[a]anthracene"|"01-JAN-2014 00:00:00"|""|""|""
"105"|"g-BHC"|"58899"|"Gamma-BHC"|"01-JAN-2014 00:00:00"|""|""|""
"106"|"g-BHC"|"58899"|"Lindane"|"01-JAN-2014 00:00:00"|""|""|""
"107"|"g-BHC"|"58899"|"BHC-gamma (Lindane)"|"01-JAN-2014 00:00:00"|""|""|""
"108"|"2,3,4,6-Tetrachlorophenol"|"58902"|"Tetrachlorophenol, 2,3,4,6-"|"01-JAN-2014 00:00:00"|""|""|""
"109"|"4-Dimethylaminoazobenzene"|"60117"|"p-Dimethylamino-azobenzene"|"01-JAN-2014 00:00:00"|""|""|""
"110"|"4-Dimethylaminoazobenzene"|"60117"|"Dimethylaminoazobenzene, 4-"|"01-JAN-2014 00:00:00"|""|""|""
"111"|"Dichlorvos"|"62737"|"DDVP"|"01-JAN-2014 00:00:00"|""|""|""
"112"|"Dichlorvos"|"62737"|"Dichlorovos (DDVP)"|"01-JAN-2014 00:00:00"|""|""|""
"113"|"N-Nitrosodimethylamine"|"62759"|"N-Methyl-N-Nitrosomethanamine"|"01-JAN-2014 00:00:00"|""|""|""
"114"|"N-Nitrosodimethylamine"|"62759"|"Nitrosodimethylamine, n-"|"01-JAN-2014 00:00:00"|""|""|""
"115"|"Carbaryl"|"63252"|"Sevin"|"01-JAN-2014 00:00:00"|""|""|""
"116"|"Acetone"|"67641"|"2-Propanone"|"01-JAN-2014 00:00:00"|""|""|""
"117"|"Chloroform"|"67663"|"Trichloromethane"|"01-JAN-2014 00:00:00"|""|""|""
"118"|"1,1,1-Trichloroethane"|"71556"|"Trichloroethane, 1,1,1-"|"01-JAN-2014 00:00:00"|""|""|""
"119"|"Methoxychlor"|"72435"|"4,4'-Methoxychlor"|"01-JAN-2014 00:00:00"|""|""|""
"120"|"Chloromethane"|"74873"|"Methyl chloride"|"01-JAN-2014 00:00:00"|""|""|""
"121"|"Iodomethane"|"74884"|"Methyl iodide"|"01-JAN-2014 00:00:00"|""|""|""
"122"|"Bromochloromethane"|"74975"|"Chlorobromomethane"|"01-JAN-2014 00:00:00"|""|""|""
"123"|"Vinyl chloride"|"75014"|"Chloroethene"|"01-JAN-2014 00:00:00"|""|""|""
"124"|"Bromoform"|"75252"|"Tribromomethane"|"01-JAN-2014 00:00:00"|""|""|""
"125"|"Bromodichloromethane"|"75274"|"Dichlorobromomethane"|"01-JAN-2014 00:00:00"|""|""|""
"126"|"1,1-Dichloroethane"|"75343"|"Dichloroethane, 1,1-"|"01-JAN-2014 00:00:00"|""|""|""
"127"|"Trichlorofluoromethane"|"75694"|"CFC-11"|"01-JAN-2014 00:00:00"|""|""|""
"128"|"Dichlorodifluoromethane"|"75718"|"CFC-12"|"01-JAN-2014 00:00:00"|""|""|""
"129"|"Hexachlorocyclopentadiene"|"77474"|"1,2,3,4,5,5-Hexachloro-1,3-cyclopentadiene"|"01-JAN-2014 00:00:00"|""|""|""
"130"|"Isophorone"|"78591"|"3,5,5-Trimethyl-2-Cyclohexen-1-one"|"01-JAN-2014 00:00:00"|""|""|""
"131"|"2-Butanone"|"78933"|"Methyl ethyl ketone"|"01-JAN-2014 00:00:00"|""|""|""
"132"|"1,1,2-Trichloroethane"|"79005"|"Trichloroethane, 1,1,2-"|"01-JAN-2014 00:00:00"|""|""|""
"133"|"Trichloroethene"|"79016"|"Trichloroethylene"|"01-JAN-2014 00:00:00"|""|""|""
"134"|"Pentachloronitrobenzene"|"82688"|"Pentachloronitrobenzene (PCNB)"|"01-JAN-2014 00:00:00"|""|""|""
"135"|"Acenaphthene"|"83329"|"1,2-Dihydroacenaphthene"|"01-JAN-2014 00:00:00"|""|""|""
