Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI,TKN,F_TKN,TON,F_TON,FECCOL,F_FECCOL
gtmpinut,11/14/2013 9:15,1,1,,0.026,,0.048,,0.029,,0.002,,0.011,,0.013,,0.042,,0.453,,2.7,,3.3,,0.83,,10,,15.5,,29.05,,9.09,,7.62,,,,,,0.44,,0.411,,7,<1> [SUL] (CHB)
gtmpinut,11/14/2013 9:25,1,2,,0.026,,0.051,,0.029,,0.003,,0.004,,0.007,,0.036,,0.467,,3.1,,3.9,,1.1,,8,,15.5,,29.05,,9.09,,7.62,,,,,,0.46,,0.431,,7,<1> [SUL] (CHB)
gtmssnut,11/14/2013 10:15,1,1,,0.018,,0.047,,0.017,,0.002,<1> [SBL],0.006,,0.007,,0.024,,0.297,,3.1,,3.7,,0.93,,14,,17.6,,32.81,,7.44,,7.88,,,,,,0.29,,0.273,,13,<1> [SUL] (CHB)
gtmssnut,11/14/2013 10:30,1,2,,0.018,,0.046,,0.014,,0.002,<1> [SBL],0.008,,0.01,,0.024,,0.29,,3.4,,4.1,,1,,11,,17.6,,32.81,,7.44,,7.88,,,,,,0.28,,0.266,,15,<1> [SUL] (CHB)
gtmfmnut,12/2/2013 12:30,1,1,,0.016,,0.039,,0.023,,0.003,,0.01,,0.013,,0.036,,0.413,,2.3,,2.7,,0.61,,8,,17.1,,33.19,,8.41,,7.94,,,,,,0.4,,0.377,,8,<1> [SUL] (CHB)
gtmfmnut,12/2/2013 12:35,1,2,,0.018,,0.035,,0.023,,0.002,,0.015,,0.017,,0.04,,0.427,,3.9,,5.1,,1.8,,19,,17.1,,33.19,,8.41,,7.94,,,,,,0.41,,0.387,,3,<1> [SUL] (CHB)
gtmpcnut,12/2/2013 10:00,1,1,,0.058,,0.089,,0.012,,0.002,<1> [SBL],0.008,,0.009,,0.021,,0.419,,3.9,,4.8,,1.2,,6,,17.2,,26.3,,28.75,<1> (CSM),7,,,,,,0.41,,0.398,,44,<1> (CHB)
gtmpcnut,12/2/2013 10:14,1,2,,0.029,,0.058,,0.008,,0.002,,0.005,,0.007,,0.015,,0.367,,4,,4.8,,1.1,,5,,17.2,,27.2,,37.89,<1> (CSM),7,,,,,,0.36,,0.352,,25,<1> [SUL] (CHB)
gtmpcnut,12/1/2013 9:30,2,1,,0.027,<1> (CHB),0.051,,0.015,,0.003,<1> (CHB),0.009,<1> (CHB),0.011,,0.026,,0.371,,2.1,<1> (CHB),3.3,<1> (CHB),1.8,<1> (CHB),8,,,,,,,,,,,,,,0.36,,0.345,,,
gtmpcnut,12/1/2013 12:00,2,1,,0.026,,0.05,,0.012,,0.002,<1> [SBL],0.005,,0.007,,0.019,,0.297,,2.5,<1> (CHB),3.3,<1> (CHB),1.1,<1> (CHB),9,,,,,,,,,,,,,,0.29,,0.278,,,
