Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmfmnut,2/17/2016 10:45:00 AM,1,1,,0.007,,0.023,,0.016,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.02,,0.264,,0.26,,0.244,,0.76,,0.83,,0.45,<-4> [SBL],5,,7,<1> (CHB),,<-1>,15.2,,32.58,,7.5,,7.48,,2.5,,,<-1>
gtmfmnut,2/17/2016 10:50:00 AM,1,2,,0.007,,0.023,,0.014,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.018,,0.304,,0.3,,0.286,,1.1,,1.3,,0.4,<-4> [SBL],6,,3,<1> (CHB),,<-1>,15.2,,32.58,,7.5,,7.48,,2.5,,,<-1>
gtmpcnut,2/17/2016 9:55:00 AM,1,1,,0.036,,0.071,,0.05,,0.004,,0.005,,0.009,,0.059,,0.779,,0.77,,0.72,,1.6,,2.5,,1.5,,8,,120,<1> (CHB),24.3,<1> (CHB),15.9,,6.51,,7.05,,8.15,,0.4,,,<-1>
gtmpcnut,2/17/2016 10:12:00 AM,1,2,,0.039,,0.071,,0.044,,0.004,<1> (CSM),0.007,<1> (CSM),0.011,,0.055,,0.731,,0.72,,0.676,,1.7,,2.4,,1.1,,8,,110,<1> (CHB),,<-1>,16,,6.26,,7.09,,8.62,,0.4,,,<-1>
gtmpcnut,2/16/2016 9:30:00 AM,2,1,,0.035,<1> (CHB),0.069,,0.043,,0.004,<1> (CHB),0.004,<1> [SCB] (CHB),0.008,,0.051,,0.758,,0.75,,0.707,,0.94,<1> (CHB),1.6,<1> (CHB),1.1,<1> (CHB),8,,,<-2> [GDM],,<-1>,15.71,,11.54,,7.49,,7.36,,0.4,,,<-1>
gtmpcnut,2/16/2016 12:00:00 PM,2,1,,0.039,,0.07,,0.031,,0.005,,0.003,<-4> [SCB],0.008,,0.039,,0.878,,0.87,,0.839,,1.8,,2.3,,0.9,<-4> [SBL],6,,250,<1> (CHB),,<-1>,15.67,,10.65,,7.23,,7.31,,0.4,,,<-1>
gtmpcnut,2/16/2016 2:30:00 PM,2,1,,0.04,,0.076,,0.024,,0.005,,0.003,<-4> [SCB],0.008,,0.032,,0.858,,0.85,,0.826,,1.1,<-4> [SBL],1.3,,0.8,<-4> [SBL],8,,620,<1> (CHB),,<-1>,16.21,,4.69,,7.79,,7.18,,0.4,,,<-1>
gtmpcnut,2/16/2016 5:00:00 PM,2,1,,0.033,,0.076,,0.018,,0.004,<1> (CSM),0.003,<1> (CSM),0.007,,0.025,,0.827,,0.82,,0.802,,2.9,,4,,1.6,,11,,220,<1> (CHB),,<-1>,17.5,,10.86,,8.02,,7.4,,0.4,,,<-1>
gtmpcnut,2/16/2016 7:30:00 PM,2,1,,0.034,,0.073,,0.026,,0.004,,0.002,<-4> [SCB],0.006,,0.032,,0.796,,0.79,,0.764,,1.5,,2.1,,0.93,,12,,230,<1> (CHB),,<-1>,19.14,,13.67,,8.55,,7.57,,0.4,,,<-1>
gtmpcnut,2/16/2016 10:00:00 PM,2,1,,0.037,,0.07,,0.034,,0.005,,0.003,<-4> [SCB],0.008,,0.042,,1.108,,1.1,,1.066,,1.3,,1.8,,0.8,<-4> [SBL],7,,240,<1> (CHB),,<-1>,18.41,,12.18,,7.74,,7.41,,0.4,,,<-1>
gtmpcnut,2/17/2016 12:30:00 AM,2,1,,0.04,,0.073,,0.037,,0.005,,0.004,,0.009,,0.046,,0.789,,0.78,,0.743,,1.6,,1.9,,1,<-4> [SBL],6,,220,<1> (CHB),,<-1>,17.78,,10.18,,7.51,,7.31,,0.4,,,<-1>
